board_state
wwwwwwxxbbbwbbbwbbwbbbbwbbbbbwbwbbwwbbbwbbbbwbbwxxbbbbbwxxbbxwww w
xwwwwwxxwxwwwwwxwwbwbxxxwbwbbbbbwbbwbwbwwbwbwbwwxwbbbwbxwwwwwwwb b
xxwwwwxxxxwwwwxbbbwwwbbbbwbwwbbbbbwwwwbbbbwbbwwbxwbwwwxbwwwwwwwx b
xxbwwwbbxxbwwwbwbbbwbwbwbbbbbwbwbbbbbwbwbbbbbbbwxxbwwbbwxxwwwxbw w
bbbwwxxxbbbbwwxxbwbwbwwwbwbbbbwbbwwbwwbbbwwwbwwbbwwwwwwbxxbbbbbb b
xbbbbbbxbxwwwbxxxbwwwwwwwbbwwwwwwbwbwbwwwwbwbwwwwxwwwwwxxwwwwwwx b
wwwwwwwbwwwwwwwbwwbbwwwbwbwbwbbbwwbwbbbbwbwbbbbxwwbbxxxxwwwbxxxx w
bbbbbbxxwwwwbbbxbwbbbbbxbbwbbbbbbbbbbbbbbbbbwwbbbxbbbwxbxxwwwwwx w
bxxbbbbbwwwwwwwwbwbbwbwwbbwbwwwwbbwwbwwwbbbbwwwxxxbwwwxxxbxwwwwx b
xxwwwwwbxxwwwwwbbwwwwwwbwwwwwwwbwwbwwwwbbbwwwwxbxwbbbwxxwbbbbxwx b
xxwwwwwxxxwwbwwbxwwwwbbbxwwbwbbbwwwbwbwbwwbbbbbbwbwwwbxxbbbbbbbx b
xxwwwwwxxxwwbbbxwwwwwbbwwwwwbbwbwwwbbbbbwwbwwwwwwwwbbwwxbwwwwwwx b
xxxbbbbxwxxbbbbwwbbbwbwwwbbwbwbwwbwbwwbwwbbwbbbwwwwwbbbwwwwwwwxx w
xbbxxbxwxbbbbbxwbbbbbbbwbbbbbbbwbbwbbbbwxbbbbbbwwbbwwbbwxxbbbbbb w
xbbbbxxbbwxwwwbbbwwbwbwbbwbwbwwbbwwbwbwbxwbbbwbbwxbbwwxbxxbbbbbx b
xwwwwwwxxbbbbwxxbbbwbwwwbbbbwwbwbbbwwwbwbbwwbbwwbwwbbbxwwwxbbxxx b
wbwwwwwxwwwwwbbbwwwbwbbbwwbwbwwbwbwbbwwxwbbwwwwwxxbbwwxxxxwwwwxx b
xbbbbbbxxwbbbbbwxwwbbbbwxwwbbwbwxwbwwwbwbbbwwbwwbbbbbwwwxxbbbbwb b
wwwwwwwxbbbbwwwxbbwwwwwwbbwwwwbwbwbbwwwwbbwbwwwwbbbwwwxxbxbbwxxx b
xxbbbbbwxxbwwbwwxbbwbwbwxbbwwwbwxwwbwwwwwwbwbwwwwwwbbbwwwwwwwwww w
xxxxxxxwxbwwwwwwbbwwwwbwbbwbwbbwbbbbbwbwbbwbwbwwbbbbbbbwbbbbbbbb b
xxwwwwxbxxwwbwwwbxwbwbwwbwwwbwwbbbbbwwwbxbwwbwwbxxwbbbwbxwwwwwww b
wwwwwwwwwbbbbbbbwbwbwwbxwbbwwbbbwbwwwbbbwbwbbbbxwwwwbbxxbbwwbxxx w
xbbbbbxxbxbwwbxbbbbbbwbbbbbbbwwbbbwwwbwbbbwwwbbbbxbbbwwbxxxbwwwb w
xxbbbbbxwxbwbbxbwwbbbwwbwwwbwwwbwwwbbwbbwwwwwbbbxxwbbbbbxxwwwwwx b
xxwwwwwbxxwwwwbwbbbwbbwwbbbbbbwwbbbbwwwwbbbbbbwwxxbbwbbxxxbbwbbb w
wwwwwwwwwwbbwbwbwwwwwwwbwwwbwwwbwwwwbbwbwwwbbbxbwwbbxxxbwbbbxxxx w
bwwwbwxxwwwbbbxxwwbwbbbbwbwbbbbbwbwwbwbbwwbwwwwbwxwbwwxxxwwwwwxx b
xxbbbbbxbwbbbbxbbwwwbwbbbbwwwwwbbbbbbwbbbbbbwwwbxxbbbxxbxwwwwwwx b
xxwwwwwxxxwwbwxbbbbwwwwwbbbbwbwwbbbwbwwwbxbbwbwwxxwbbwbwxwwwwwwb b
wbbbbbbbwwwwbwxwwwwbwbwwbwbbbwwwbbwbbbwwbbbwbbbxxxbbwbxxxxwbbwxx b
xwbbbbxxbxwwbbxxbbwwbbbbbbbwwbbbbwwbbwbbbwbwbwbbbwwwwwxxbwwwwwxx b
bbbbbbbwbbbbbbbwbbbwbwbwbbwbwbbwbbbwbwbwbbwwwbbwbxwwwwwwxxxwxwxx b
wwwwwwwxwwwwwwbxbbbbwbbbxbbbbwbwxbwbbwbwxbbwbbbwxbbbbbbwxbbbbbbw w
xbbbbbbbwxbbbbbbwwbbbbwbwwbbbwwbwwbbbbwbxwwwbbwbxxwwwwbbxxxwwwxb b
xwwwwwwxxxwbbbbxxbwwwbwwbbbwbwwwxbwbwwwwbbbwbbwwxbwbbbwwxwwwwwww w
xxwbbbbbxxwwbbbbwwwwbbbbwwwbbwwbwwwbbwwbxwwwwwwbxbwwbbbbxxwwwwwb b
xxxxxbbxwbxbbwwwwbbbwwwwwbbbwwwwwbbwwwwwwbwbwwwwwwwwwwwwwwwwwwww w
xxbbbbxxbxbbwwwxbbbbbwbbbwbbwbbbbbbwbbbbbwwwbbbbbwwbbbxxbwbbbbxx b
