board_state,solution,moves
wwwwwwbxwwwwxwbxwbwwbbbwwbwbbwbwwwbbwbbwwbbbwwbwwbbbbbbbwwwwwwww w,h7,h8 e7
wwwwwwwbwwbwwwbwwwwbbbwwwwwbbwbwwwbwwbwwbbbwwwwwbxwbbbwwxwwwwwww w,a1,b2
wxbbbbbwbbbwwwwwbbbbbbbwbbbwbbbbbbbwwbbbwbbwbbwbxbwbwwwbxwwwwwwb w,a1,b8 a2
wwwwwwwwbwwwwwwwbwbwbbbwbwbwwbbbbwbwwwbbwwbwbbwbxwwbwwwbxwwwwwwb b,a1,a2
xbbbbbbbxwwwwwwwxwwbbbbwwwwbbbbwwbwbwbbwwwbwbwbwwxwbwbbwxwwwwwbw b,a8,a1 a6 a7
wbbbbwxxwwwwwwxbwwbwwwbbwbwwbbbbwbbwwbwwwwwbbwwwwwbbbwbwbbbbwbbw w,h8,g7
bbbbbbbxbbbbbbbxbwbbbbbwbwbbbbwwbwbbbwbwbwbwwbwwbwwbbwwwbwwbbwxx b,h1,g1
bbbbbbbbbbwwwbbwbbbwbwbwbbbbbbbbbbbbbbbbbbbwwbbbbbwxwbbbxwbxxwww b,a1,e1 d2 d1
bbbbbbbbbbwwwbbwbbbwbwbwbbbbbbbbbbbbbbbbbbbwwbbbbbwxwbbbbbbxxwww b,d1,e1 d2
xxbwwwwbwbbwwwwbwbbbbbwbwbwbbbwbwbbwbwbbwbbwwbbbwbbbbbbbwwwwwwww w,a8,b8
bbbbbbbxwwwwwbxwwwbwbbwbwbwbwwbbwbbwbbwbwbwbbbwbwbbbwwwbwbbbbbbb b,h8,g7
wwwwwwwwbbbbbbbbbbwwbwbbbbbwwwbbbbbwwbbbbbwwbbbbbbwbbbxxbbbbbbbx w,g2,h2
wwwwwwwwbwwbbwwwwbwwwwwwwwbwwwwwwwwbwwwwwwwwbwwwwxwwwbbwxwwwwwbw b,a1,b2
xwwwwwxxxwwwwwwbbbbwbwbbbbbwwbwbbbbbwwwbbbbwwbwbbbbbbwwbbbbbbbwb b,a7,h8 g8 a8
xwwwwwwbxwwwwwwbbbbwbbwbbbbwbbwbbbbbwwwbbbbwwbwbbbbbbwwbbbbbbbwb b,a7,a8
xbbbbbbbwxbbbwwbbwbbwwwbbbwwbwwbbbwwbbwbbwwwwwbbbbbbbbbbbwwwwwbb b,b7,a8
bwwwwwwbbbwwwbbbbwbwwwbbbwbbwwwbbbbbbbwbbbwwwbwbbwwwwxwbwxwwwwwb b,f2,b1
bwwwwwwxbbwwwwwbwbbbwwwbwwbbwbwbwwwwbbwbwwbwbbbbwxwbbbbbwxwwwwwx b,b2,h8 b1
bbbbbbbbbwwbbwbbbwbwwbwbbbbbbbwbbwbbbbwbbwwbbbwbbwwwwwwbxbbbbxwb b,a1,f1
wwwwwxbbwxbwwwwbwbwbwwwbwbwbbwwbwbwwbbwbwwwwwbbbwwwwwwbbwbbbbbbb b,b7,f8
wwwwwwwbwwbbwwbwwwwwbbwwwwwwbwbwwwbbwbwwwbbwwwwwwbbbbbbbwwbbbbxx w,h1,g1
wwwwwwwwwbbbwbbbwbbwbwbwwwbbwwbwwwwwbbbwwwwbwbwwwxwwwwwwxwwwwxxb b,g1,b2 f1
wwwwwwwwwbbbwbbbwbbwbwbwwwbbwwbwwwwwbbbwwwwbwbwwwxwwbwwwxwwwwwwb b,a1,b2
wwwwwwwxbbwwwwwxbbbwwwwwbbwbwbwwbbwwbwbwbbwbwbwwbbbwbwbwwwwwwwwb b,h8,h7
bwbbbbwxbbwwbbwwbbbbwbwwbbbwwwbwbbwbbbbbbwbbbbbbwxbbbbbbxxbbbbbb b,b2,h8 a1
bwbbbbwxbbwwbbwwbbbbwbwwbbbwwwbwbbwbwbbbbwbwbbbbbxwbbbbbbwbbbbbb b,b2,h8
xwwwwwwbxwwbbwwwwwbwwbwbwwwwwwwbwwwbwbwbwbwwwbwbbbbbbwwxwwwwwwwx b,a8,h1 a7 h2
bbbbbbbbwwwbbwwwwwbwwbwbwwwwwwwbwwwbwbwbwbwwwbwbbbbbbwwxwwwwwwwx b,h1,h2
xwwwwwwwbwbwwbbxbbwwbbwwbwwwbwwwbwbwwwwwbbwwwwwwbxwwwwwwxxwwwwww w,b2,h7
bbwwwwxwbbbwwbwwbwbbbwwwbbwbwwwwbbbwwwwwbbbbwwwwbbbbbwxxwwwwwwwx b,g8,g2 h2
wbbbwwxxwbbbbwwbwbbbbbwbwwbbbbwbwbwbwwbbwbbwbbwbwxbbwwbbxbbbbbbb b,h8,g8
xwwwwwwwxwwwwwwxbwwbbwbbwwbwwbwbwwwwwwwwwwwwwbwwbbbbbwbbbwwwwwwb b,a8,a7
bwbbbbbxbwwwbbbbbwbwwbbbbbbwbbbbbbwbbbwbbwbbbwbbwwbbwwxbwwwwwwwx w,h8,g2
bbwwwwwbbbwwwwbxwbbbwbbbwbwbwwbxwwwwwbbbwwwwwwwwwbbbbwwxwwwwwwwx b,h1,h2
bbbbbbbbwwbwwwwbwwbbbwwbwwbbwwwbwwbwbbwbbwbbwwbbbwwwwxxbbwwwwbxx b,f2,g2
bbbbbbbbwwbwwwwbwwbbbwwbwwwbwwwbwwbwbbwbbwbbwbbbbbbbbwxbbwwwwwwx b,g2,h1
wwwwbxxxbbbwwbbwbbwwbbbwbbbwbwbwbbbbwbwwbbbwbwwwbbbwwwxwbbbbbbbx w,f8,g8
wwwwwwxxbbbwwwwwbbwwbwbwbbbwbwbwbbbbwbwwbbbwbwwwbbbwwwxwbbbbbbbx b,h8,g2 g8
wwwwwwwbbbbwwwwwbbwwbbwwbbbwbwwwbbbbwbwwbbbwbwwwbbbwwwxwbbbbbbbx b,h1,g2
wwwwwwxxwbbbwwxwwbbwbwwwwbwbbbbwwwbbbbbwwbwwbbbwbbbbbbbwbwwwbbbb b,h8,g7 g8
wwwwwwxbwbbbwwxbwbbwbwwbwbwbbbbbwwbbbbbbwbwwbbbbbbbbbbbbbwwwbbbb b,g8,g7
bwbbbbbbwwwwwwxbwwbwwwwbwbwbwbwbwwwwbbwbwwwwbbbbxwwbbbbbxxwwbbbw b,g7,b1 a2
bwbbbbbbbwwwwwxbbwbwwwwbbbwbwbwbbwbwbbwbbbwwbbbbbwbbbbbbwxwwbbbw b,b1,g7
xwbbbbbbxxwbwwbbwwwwbbwbwwbwbbwbwbbbwbwbbbbbbwbbbbbbbbwbbbbbbbbw b,a8,a7 b7
bxwwwwwwbwwwbwxwbwwwwbbwbbwwbwbwbbwbwbwwbwbwbwbwbwwwwbwwbbbbbbbw b,g7,b8
wbbxwwbwbwxwwbbwbbwwbwbwbbbbwbbwbbbbwwbwbbbbbwwwbbwwwwwwbbbbbbbx b,d8,c7 h1
bbbbbbbxbbwwbbwwbbbbbbwbbwbbbwbbbwbbbwwbbbbbwwwxbbbbwwwwwwwwwwww b,h3,h8
xbbbbbxbbbbbbbwbbbbbbwwbbbwbwbwbbbbwbwbbbbwwwbbbxwwwwwbbwwwwwwwb b,g8,a2
wbbbbbxxwbbbbbbwwbwwwwbwwbwwwwbwwwbwwwbwwwwbbwbwwwwbbbwwxwwwwbbw w,h8,g8
bbbbbbbbwwwwbwbbwwbwwbbbwbwwwwbbwbwbbwbbwbbbwwwxwbbbwwxxwbwwwwxx b,h3,g2 h2 g1
wbbbbbbxwbbbwwwbbbwbwwwbbbwwwwwbwbwwwwwbbbwbwbbbbbbwbwxbwwwwwwwx w,h8,g2
xbxxbbbbwxbwbbbbbwwbbbbbbbwbbwbbbbbwbbbbbbbbwwbbbbwwwwwbbbbbbbbb b,b7,c8 d8 a8
xbbwbbbbwxwwbbbbbwwwbbbbbbwwbwbbbbbwbbbbbbbbwwbbbbwwwwwbbbbbbbbb b,a8,b7
bbbbbbbbbbbwbbbwbbwbwbbbbbbwwbbbbbwbwbbbbwbwbwbbwxwbbbbbxwwwwwww b,a1,b2
bbbbbbbwbbbbbbbwbwbwbwxwbbwwbwxwbbwwbwwwbbwbbwbbbwbbbbbbwwwwwwww b,g6,g5
bbwbxwbbbbbwbwxbbbbbwbwbbbbbbwbbbbbbbbwbbbbwbbbbbbbbbbbbbbbbbbbb b,e8,g7
wwwwwwbxbbbbbbbxwbwwbbwwwwbbbwbwwwwbwbbbwwwwbwbbxwwwwbxbwwbbbbbx w,g2,h8 h1
wwwwwwwwbbbbbbwxbbwwbwwwbwbbwwbwbwbwwbbwbbwwbwbwbbbbbbxwwwwwwwww b,g2,h7
bbbbbbbwbbwwwwbwbwbbbwwwbwwbwwwwbbwwbbwwbbbwwbwwxbbbbwwwxwwwwwww w,a1,a2
wwwwwwwwbbbbbbwbbbbbbwbbbwwbwbbbbwwwbbbbbbwwwbbbbbbbwwbbxxbbbwwb w,a1,b1
wbbbbbwxwwwwwwxbbwwbwbbbbbwwbbbbbwwwbbbbbwbbwbbbbwwbbwxxbbbbbbbb b,h8,g2
bwwwwwwwbwwwwwwwbwbwbwwbbwwbwwbbbwbwwbwbbbwbwbbbbwbbbwbxwwwwwwwx w,h1,h2
xxbwwwwwbwwwwbbbbwwwwbbbbwbwbbwbbwwbbwwbbwbwbwwbbwwbwwwbbwbbbbbb b,a8,b8
wxwwwwwwwxwwwwwwwwwwwwwwwbbwwwwwwbwwbbwwwbwwbwbwwbbbbbbbwwwwwwww b,b8,b7
wbbbbbbbwbbbwwwbwbwwwwwbwbwwbwwbwbwbwwbbwwbwbwwbwwwwwbxwbbbbbbbx b,h1,g2
xbbbbbbbxwbwwwbbbwwbbwbbwwwwwwwbwwwwwwwwwwbwbbbbwwwwwbbbbbbbbbbb b,a7,a8
wwwwwwwwwbbbbbbbwbwwwwbbwbwwwbbbwwbwbbbbwwwwwbbbxxwwwwbbxwwwwwwb b,a1,b2 a2
wwwwwwwwwbbbbbbbwbwwwwbbwbwwwbbbwwbwbbbbwwwwwbbbxxwwwwbbbbbbbbbb b,a2,b2
