board_state,solution,moves
bxbwwbbbbxwwwwwbbwwbwwwbbwwwwbbbbwwwwbbbbwwwwbbbbwwwbbbbwwwwwwww b,b8,b7
wxwwwwwxwwbbbwwxwbwbwwwbwbbwbbwbwbwwwbwbwwwbwwwbwxwwwwwbbbbbbbbb b,b8,h8 h7 b2
xxwwwwbwwxwwwwbwwwwbwbwwwwbbbbbwwwbbbbwwwwbbbbwwbwwwwwbwbbbbbbbb b,a8,b8 b7
xwwwwwwwbxwbbbwbbbwwwwwbbwbbwwwbbwwwbwwwbwwwbbwwbwwwwwwwxxbbbbbb b,b1,b7
bbbbbbbbbbbbwwbxbwbwwwwxbbwbbwwwbwbwbbwwbwwwwbbwbwwwwwbwxwwwwwbw b,h7,a1 h6
wwwwwwwwbbbbbbwwwbwwwwbwwbwbwbwwwbwbbwwwwbbbbbwwxbbwwwbwxxbbbbbb w,a1,b1 a2
wwwwwwwwbwbbbbwwwwwwwwwwwwwbwwwwwwwbwwwwwwbwbbwwxwwwwwbwxwbbbbbb b,a1,a2
bbbbbbbbwwwbbbbbwwbwwwbbwbwbwwbbwbbwbwwxwbwbwbwwbbbbbbbxwbbbbbbw b,h4,h2
wbbbbbbbwxwbbwwbwbwbwwwbwwbbwbwbwwbbbwwbwwwbwwwxwbbbbwwwwbbbwwxx b,b7,h1 g1 h3
xwbbbbbbwxwbbbbbwwwbbbwbwwbbwbwbwbbbwwwbbbbbbbwbbbbbbwwbbbbbbbbb b,a8,b7
wwwwwwwwbwbbbbwwbbwwbwwwbwbwwwbwbwbwwwbwbbbwwwbwbxwwwwwwxwwwwwww w,b2,a1
wwwwwwxxbbwwbwwwbbwwwwwwbbbwwwbwbwbwwwbwbwwbbbwwbwwwbbxwbbbbbbbx b,h8,g2 g8
wwwwwwwbbbwwbwwwbbwwwbwwbbbwbwbwbwbbwwbwbwbbbbwwbbwwbbxwbbbbbbbx b,h1,g2
bbbbbbxxbwwwwwwbbwbbwwwbbwbbwbwbbbwwbwwbbwwwbbbbbwwbbbwbxxwxbbbb b,d1,b1 g8
xxwwwwwwwxwwbbbbwwwbwwbwwwbwwbbwwbwwwbbwwbwbbbwwwwwwwwwwwwwwwbbx b,h1,b8 b7
xbwwwwwwwxbwbbbbwwwbwwbbwwbwwbbbwbwwwbbbwbwbbbwbwwwwwwbbwwwwwbbb w,a8,b7
xwwwwwwwwxwbbbbbwwbwbwbbwwwwwwbbxwbwwbwwbbwwwwwwbbbwbwbbwbbbbbbb w,a4,b7
xwwwwwwwxwwwbbwwbwwbwwwwbwbbbbwwbbbbbwwwbwbbwbwwwwwwbwwwbbbbbbbb b,a8,a7
wxwwwwbxwwwwwwwwwbwwbwbwwbbbbwbwwwbbwwbwwwbwwwwwwbbwwwwwbbbwwwww b,h8,b8
xwbwwwwwxwbbbbwbwwbwbwwbwwbbwbwbwwwbbwwbwwwbbwwbxwwwwwbbxbbbbwbb b,a1,a8 a7 a2
xwbwwwwwxwbbbbwbwwbwbwwbwwbbwbwbwwwbbwwbwwbbbwwbwwwwwwbbbbbbbwbb b,a8,a7
xbbbbbbbwxbwwwwbbwbbbwwbbbwbwwwbbwbwbbwbbwwbbbwbbwwwbwwbbbbbbbbb b,b7,a8
xwwwwwwwxxwbbbwwwwwwwwwwbbbbwwbwbbbwwbwwwwwwwbbwxwwwwwbbbwbbbbbb b,a2,a7 b7
xbbbbbbbxwwwwwwwwwwbwwwwwwwbwbbwwbwwbbbwwbwwwbbwwwwwwwbwwbbbbbbw b,a8,a7
wwwwwwwbbbbbbwbwwbwwwbwwwwbwbbbwwwwbwwbwwwwbwwbwwxwwbbbwxxwwwbbw b,a1,b2 b1
wwwwwwwbbbbbbwbwbbwwwbwwbwbwbbbwbwwbwwbwbwwbwwbwbxwwbbbwbxwwwbbw b,b1,b2
bbbbxwwxbbbbbbbwwbbbwbbwwwbbbwbwwwwwbbwwwwwwwbbwwwwbbbbbwwbbbbbx w,h8,e8 h1
bbbbbbwwbwwwbbwbbwbbwbwwbbwbwwwxbwbwwbwxbwwwbwwwbwwwwwwxbbbbbbbx b,h1,h5 h2 h4
xxbbbbwwwbbbwwwbwbbwwwwbwbwwwbwbwwbwbwwbwbwwwwwbwwbbbwwbwwwwwwwb w,a8,b8
wbbbbbbwwwbbbbwwwwwbwwbwwwbbwbwwwbwwbwwwwwwbwwwwxwwwwwxxwwwwwwwx b,a2,g2 h2
wbbbbbbwwwbbbbwwwwwbwwbwwwbbbbwwwbwwbbwwwwwbwwbwxwwwwwxbwwwwwwwx w,g2,h1
wbbbbbbwwwbbbbwwwwwbwwbwwwbbbbwwwbwwbbwwwwwbwwbwxwwwwwxwwwwwwwww b,g2,a2
xbbbbbbbxwwwwwbbbwwbbbbbwwwbbbwbwwbbbbwbbwbbwbwbxwwwbwwbxbbbbbbb b,a7,a1 a8 a2
wbbbbbbbwwbbbbbbwbwbbbbbwwbbbbwbwwbbbbwbbwbbwbwbxwwwbwwbxbbbbbbb b,a1,a2
wxwwwwwxxwbbbbxbbbwbbwwbbbwwbbwbbbwbwbwbbwbbwwwbwwwwbwwbbbbbbbbb b,b8,a7 g7
wbwwwwwxwbbbbbxbwwwbbwwbwbwwbbwbwbwbwbwbwwbbwwwbwwwwbwwbbbbbbbbb b,h8,g7
wwwwwwwxbwwwwwxxbbwbwwbbbbwbbwwxbbwbbwwwbwwbbbwwbwwwwwwwbbbbbbbb b,h5,g7
bbbbbbbbbbbbbwwwbbbbwbwxbbbwbwwwbbwbwwwwbbbwwwwxbbwwwwwxbwwwwwww b,h6,h2 h3
xbbbbxwwxwwwwwxwwwwbwwwwwbwwbwwwwwbbwbwwwbwwwwbwbbbbbbbwwwwwwwww b,a8,a7 g7 f8
xbbbbwwwxwwwwwwwwwwbwbbwwbwwbwbwwwbbwbbwwbwwwwbwbbbbbbbwwwwwwwww b,a8,a7
bbbbbbbwbbbwbbbwbbbbwwbwbwbbwwbwbwbwbbbwbwwwwbwwbwbwwwbwxxbbwwwb b,a1,b1
bwwwwwwwbbbbwbwxbbbbbwwxbbwbbbwwbbbwbbwwbbwwwbwwbwbbbwxxwbbbbbbb b,h2,g2 h7 h6
xwwwwwwwwxwbwbbbwbbwbbbbwbwbbbbbwwbwbwbbwwbbbbwwwwbbwwbwxbbbbbbb b,b7,a1
bwwwwwwwbwwwwwwwbbwwwwwwbwbwwwwwbbwbwwwwbbbwbwwwxbbbwwwwxxbbwwww w,a1,b1 a2
bbbbbbbbxxwbwwbbxwwwwbwbwwwwbbwbwwwbwwbbxwbbbbbbbbbbbbbbxbbbbbbb b,a7,a6 b7 a3
bbbbbbbbwxwbwwbbwwbbbbwbwbwwbbwbwwbbwwbbxwbbbbbbbbbbbbbbxbbbbbbb b,b7,a3
wwwwwwwwwbbbbbwwbwwbbwbwbbwwwwbwbbbwwwbwbbbwwwbwxbwwwbwwxwwwwwww w,a2,a1
bbbbbbbbbwwbbbbbbwbwbbbbbbbbbwbbbwwbbwbbbxwwbbwbbxwwwwbbxxwxbbbb b,d1,b2 b1 b3
bwwbbbxxwwbbbbbwwwwbwbbwwwwwwwbwwbwwwbbwwbwbwwbwwwbbwbbwwwwwwwww w,h8,g8
wbbbbbbbbwbbbbbbxxwbwbwbbwwwbbwwbwwbbbwwbwbbwwwwbbwwwwxwbbbbbbxx b,a6,h1 b6 g1
xwwwwwwwxbbbwwwwxxbwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwww w,b6,a7 a6 a8
wwwwwwwwwwwwwwwbwwwwwwbbwwwwwwwbwwwwwwwbwwwwwwwbwwwwwwwxwwwbbbbx w,h2,h1
xwxbwwwwbbbwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwww w,c8,a8
bbbbbbwbbbbbbbbbbwwwbbbwbbwwbbwwbwbbwbwxbwbbwwwwbbwwbwwxbxwwwwwx b,b1,h4 h2 h1
bwwwwwxbbwwwwwbbbwwbbbbbbwbwbbbbbwbbwbbbbwwbbwbbbwbwwwwbwbbwxwww b,g8,e1
xxbbbbbbxxwbbwbbwwbbbbbbwbbbbbbbwbbwbbbbbbbbwbbbbbbbbbbbbbbbbbbb b,b8,a7 b7
xbbbbbbbxwwwwwbbwwbbbbbbwbbbbbbbwbbwbbbbbbbbwbbbbbbbbbbbbbbbbbbb b,a8,a7
xbbbbbbbbwwbwwbxbwbwbbwwbbwbbbwwbwbbbwwwbwbwbwwwbwwbwwwxbbbbbbbx b,h7,a8 h2 h1
bxbbbbwbbbbbbbwwbbbbbbwwbwbbbbwwbbbbbwwwbbbbwwwwbbwwwwxxbbbbbbwx b,h2,g2 h1
wwwwbbxxwwwbbbbwwwwwwbwwwwwwbwwwwwwbwbwwwwbwwwwwwbwwwwwwwwwwwwww w,g8,h8
bbbbbbbbbbbbbbbbbbbbbbbbxbbbbbbbxwbbbbbbwbbbbbwbwbbbwwbbwbbbbbbb b,a5,a4
xxxbwwwwwbbwwwbwwbbbwwwwwbwbwwbwwbwwbbwwwbwwwbbwwwbbbbbwwwwwwwww w,b8,c8 a8
bbbbbbbxbbbbbbbwbbbbbbbbbbbbbwbbbbbbwbbbbbbwbbbbxxwwbbbbxxwwbbbb b,h8,b1 b2
bbbbbbbbbbbbbbbbbbbbbbbbbbbbbwbbbbbbwbbbbbbwbbbbxxwwbbbbxxwwbbbb b,b1,b2
wwwxwwbxwwwwwbxbwbbbbbbbwwbbwwwbwbwbbbwbwbbbbwwbwbbbbbwbwbbbbbbb w,h8,g7
wwwwwwbxwwwwwbxbwbbbbbbbwwbbwwwbwbwbbbwbwbbbbwwbwbbbbbwbwbbbbbbb w,h8,g7
bbbxxwbbbbwwwbbbbbbbbwbbbbbbbwbbbwbbbbwbbbwwbbwbbwbbbbbbwxbbbbbb b,b1,d8 e8
bbbxxwbbbbwwwbbbbbbbbwbbbbbbbwbbbwbbbbwbbbwwbbwbbbbbbbbbwbbbbbbb b,d8,e8
xwwwwbbbxwwbwwbbwwbwbbwbbwbbwbwbbbbwwwwbbbbbbbbbbbbbbwwbbbbbbbbb b,a8,a7
bwbbbbxwbbbbbbbxbbbwwbwbbbbbbwwwbbbbbwwwbbbbbwwbbbwbwwxbbbbbbbwx b,h1,g2 h7
bwbbbbbwbbbbbbbwbbbwwbwwbbbbbwwwbbbbbwwwbbbbbwwbbbwbwwxbbbbbbbwx b,h1,g2
bbbbbbbwbbbbbbbwbbbbbwbwbbwbwbbwbbbwbwbwwwwbwbbwxxwwbbbwxwwwwwbw b,a1,b2 a2
bbbbbbbwbbbbbbbwbbbbbwbwbbwbwbbwbbbwbwbwbbwbwbbwbxwwbbbwxwwwwwbw b,a1,b2
bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbxbbbbbbbxxwwwwwbxwwwxwwb b,e1,b2
bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbwbbbbbbbxwbbbbbbxwwwbbbb b,a1,a2
bxxwwwbbbxwwwbbbbwwwbbbbbwwbbbbbbwbbbwbbbbbwwbbbbbbbbbbbbbbbbbbb b,b8,b7 c8
xwwbbbbbbxbbbwbbbbwbbbbbbbwbwwbbbbbwwwbbbbwwwwbbbwwwwwbbxxwwbbbb b,b7,a1 a8 b1
xwwbbbbbbwwwwwbbbbwbbbbbbbwbbwbbbbbbwwbbbbbwwwbbbbwwwwbbbxwwbbbb b,b1,a8
xbbbbbbxbxbbbbbbbbwwwbbbbbbwbbbbbbbbwbwbbbbbwwwbbbbbwwwbbbwwxwwb b,e1,b7
bbbbbbbbwbbwwwbbwwbbwwbbbbwwwbbbbbwwwbbbbbbbwwbbwbbwwwbbwbwxxxww b,e1,f1 d1
bbbbbbbbbbwbbbwbbbwbbwwbbbwbwwwbbbwbwbwbbbwwwbwbbxwwwwwbxxwbxwwb b,e1,b2 b1
bbbbbbbbbbwbbbwbbbwbbwbbbbwbwbwbbbwbbbwbbbwbwbwbbwwwwwwbxbbbxwwb b,a1,e1
wbbbbbbbwbwwwwwwwbbbwbbwwbbwbwbwwwbbbwwwwwbbwwwwwxbbbwwwxxbbbwww w,b1,b2
bbbbbbbbxxwwwbbbwwwwbbbwwwbbwbwwwwbbbwwwwwbwbbwwbbwwwwwwbbbbbbbb b,a7,b7
bbbbbbbwbbwwwbwwbbbwbwbwbbwbwbwwbbbbbbbwbbbbbwwwbbbwwwxwwwwwwxxx b,g1,g2 f1
bwwwwwxxbwwbbwwbbwbbbwwbbbbwbbwbbbbwbwbbbbwbbbwbbwbbbbbbwbbbbbbb b,h8,g8
bbbbbbbbbbwwwwbbbbbbwbwbbbwbbbwbbbwbbbwbbbwbwbwbbxwwwwwbxxwwwxwb b,f1,b2 b1
bwwwwwxxbbwbbwxwbbbwbwwwbbbbbbbbbbwbbwbbbbwbbbbbbwbwwbbwwbbbbbbb b,h8,g7 g8
bbbbbbbwbbbbbbbbbbbwwwbwbbbwwbwwbbbbbwwwbbbbbwwwbbbwwwxwwwwwwwbx b,h1,g2
xxwwwwbbwxwbbbbbwxwbbbbbwwwbbbbbxwbbbbbbwbbbbbbbbbbbbbbbbbbbbbbb b,a4,b8 b7 b6
xxwwwwbbwbbbbbbbwbbbbbbbwbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb b,a8,b8
wxwwwwwbxwbbbbbbwbwbwbwbwbwwbbwbwbwbwbwbwbbwbbbbwbwbbbbbbbbbbbbb b,a7,b8
bbbbbbbbwwwwwwbbwwbbbbbbwwbbbbwbwwbbwbbbxwbbbbwbxxwwwbbbxxwwwwbb b,a2,b1 b2 a3
bxxwwwbwbxwwwwbwbwbwbbwwbwwbbbbwbwbbbwbwbwwwbbbwbwwwwbbwbbbbbbbb b,b8,b7 c8
bxxwwwwbbxwwwwwbbwbbbbwbbwbbbbwbbbwwbbwbbwbbwbwbwbbbbbbbbbbbbbbb b,b8,b7 c8
bbbbbbbbbbbwwbwbbwbwbbwbbbwbbwbbbwbwwbwbwwwwbbbbxxbbbbbbxwbbbbbb b,a1,b2 a2
wbbbbbbxbbbwwbxbwbwbbwwbwbwwbwbbwbbwwbwbwbwbbwwbwbwwwwwbwbbwwwwx w,h8,g7
bbbbbbbbbwbwwwbbbbbbbwxbbbbbbwwxbbbbbwxbbbbwbwbbbbbbbbbbbbbbbbbb b,h5,g4 g6
xxbbwbbbbwwwwwbbbwwwwbwbbwwwwwbbbwbwwwwbbwwbwbwbbwwwwwbbxxbbbbbb b,b8,a1 b1 a8
bbbbbbbbwbwwwwwbwwbbwbwbwbbbbbbbxwwbwbwbwbwwbwbbwbwwwwwbbbbxwwwx b,a4,h1 d1
wbbbbbbbbbbbwwbbbbwbbbwbbbwwbwbbbwbbwbbbbwwwwwwwbwwwwxwwbwxbwwxx b,c1,h1 g1 f2
wbbbbbbbbbbbwwbbbbwbbbwbbbwwbwbbbwbwwbbbbwbwwwwwbbbbwwwwbbbbwwxx b,h1,g1
bbbbbwbxbbwwwwxwbbbbbwwwbbbbbwbwbbwbbbwwbbbwbbwwbbwbwbbwbbbbbbbb b,h8,g7
bbbbbbbxbbwwwwxbbbwbwwwbwwbbbwwbwwbbbwwbwwwbbbbbxxwwbbwbxwwwbbwb b,a1,g7 b2 a2
bbbbbbbxbbwwwwxbbbwbwwwbbwbbbwwbbwbbbwwbbwwbbbbbbwwwbbwbxwwwbbwb b,a1,g7
bwwwwwwxbbbbbwxwbbbwwwwwbbbbbbbwbbbbbwbwbbbbbbwwbbbbbbbwbbbbbwxx b,g1,h8 g7
bwwwwwwxbbbbbwxwbbbwwwwwbbbbbbbwbbbbbwbwbbbbbbwwbbbbbbbwbbbbbbbx b,h8,g7
bbxxbbbbbbbbwwwbbwbwwwwbbbbbbwbbbwbwwbbbbwbwbbwbbxwbwwwbxwwwwwwb b,b2,d8 a1
bbwbbbbbbbwwbwwbbwwwwbwbbbwbbwbbbwwwwbbbbwwwbbwbbxwbwwwbxwwwwwwb b,a1,b2
bbbbbbbbbbbbbbbbbbbbbbbbbbwbbbbbbbbbbwbwbbbbbbwxbbbbbwwxbbbbwwwb b,h2,h3
wwwwwwxxbbbbbwxxbbbbbwwwbbbbbwwwbbbbbwwwbbbbbwwwbbbwwbwwbbbbbbbx b,h1,g7 h7 g8
wwwwwwxxbbbbbwwbbbbbbwwbbbbbbbwbbbbbbwwbbbbbbbwbbbbwwbbbbbbbbbbb b,h8,g8
bbbbbbxbxbwwwwbbxwwwwbbbxwwbbbbbxwwbbbbbwwbwwbbbbbbbbbbbbbbbbbbb b,a7,a4 a6 g8
bbbbbbbbwwwwwbbbxwwwbbbbxwwbbbbbxwwbbbbbwwbwwbbbbbbbbbbbbbbbbbbb b,a5,a4 a6
bbbwwwwxwwbbbwwxwwbwbwwwwbwbwbbwwbbwbwbwwbbbbbwwwbbwwwxwwwwwwwwx b,h8,g2 h7
bbbbbbbbwwbbbwbxwwwwbbwwwbwwbbbwwbbbwwbwwbbbbwwwwbbwwwwwwwwwwwwx b,h7,h1
bbbbbbbwbbbbbbbbbbbbbwbbbbbbbbwwbbbbbbxxbbbbbbbxbbbbbbbbbbbbbbbx b,g4,h4
xwwwwwwxxxwbwwwbwwwwwwwbwwbbwwwbwbbwwwwbwbwwbbwbbbbbbbbbbbbbbbbb b,h8,a7 b7
xwwwwwwbxxwbwwbbwwwwwbwbwwbbbwwbwbbbwwwbwbbwbbwbbbbbbbbbbbbbbbbb b,a8,a7 b7
bbwwwwxxbbbwwwbbbbbbbbbbbbwbbwbbbbbbwbbbbbbwbwbbbbwwwwxbbwwwwwwx b,h1,g2 g8
bbwwwwxxbbbwwwbbbbbbbbbbbbwbbwbbbbbbwbbbbbbwbwbbbbwwwwxbbbbbbbbb b,g2,g8
bbbbbbbbbbbbbbbbwbbbbbbbwwbbbbbbwwwbbbbbwxwbbbbbxwwbbbbbxxwbbbbb b,a1,b1 a2 b3
bbbbbbbbbbbbbbbbwbbbbbbbwwbbbbbbwwwbbbbbwxwbbbbbxwbbbbbbxbbbbbbb b,a1,a2 b3
bbbbbbbbbbbbbbbbwbbbbbbbwwbbbbbbwwwbbbbbwxbbbbbbxbbbbbbbbbbbbbbb b,a2,b3
bbbbbbbbbbbbbbbxbbbwbbwwbbbbbbwwbbwbbbwwbbwwbbwwbxwwwwbwxxwwwwwb b,h7,b2 b1
bbbwwwxxbbwwwwwxbwbwbwwwbwwbwbwbbwwwbwwwbwwwwbwwbxwwbwwwbbbbbbbb b,b2,h7 g8
bbbbbbbwbbwwwbwxbwbwbwbwbwwbwbbbbwwwbwbwbwwwwbbwbxwwbwbwbbbbbbbb b,h7,b2
bbbbbbbbbwwwwwbbbwbbbwbbwwwbwwbbwwwwbwbbwwwwwbbbwxwwwwbbxxwwwwwb b,a1,b1 b2
xxwbbbbbwwwbbbbbwwbbwbbbwwwbwbbbbwwbwbbbbbbbwbbbbbbwbbbbbbbbbbbb b,a8,b8
bbbbbbbbbbwwwwwwbbbbbbwwbwbbbbwwbbwbbbwxbbbbwwwwbbwwwwxxbbwwwwxx b,h4,g2 h2 g1
bbbbbbbbbbwwwwwbbbbbbbwbbwbbbbbbbbwbbbbbbbbbbwwwbbwwwwwxbbbbbbbx b,h1,h2
xxwbbbbbxxwbbbbbwwwbbbbbwwbbbbbbwwwbbbbbxwbbbbbbwbwbbbbbbbbbbbbb b,a3,b8 a7 b7
bbbbbbbbbbbwwbbbwwwwwwbbwwwbwbbbwwwwbwbbwwwbwbbbxxwwwwbbxxwwwwxb b,g1,b1 a2 b2
bbbbbbbbbbbwwbbbbbwwwwbbbwbbwbbbbwbbbwbbbwwbbbbbbwwwwbbbxxwwwwbb b,a1,b1
xxbbbbbbxxwwwwwbwwwwbwwbwwwbwwwbwwbwbbwbwbwwbbwbbbbbbbbbwbbbbbbb b,b8,a7 b7
xwbbbbbbxbwbbbbbwbbwbwwbwbwbwwwbwbbwbbwbwbwwbbwbbbbbbbbbwbbbbbbb b,a8,a7
wbwwwwwxbbbbbbwbbbwbwwwwbwwwbbwwbwbbbbwxbwbbbbwwbbbbwwwxbbbbbbwb b,h8,h2 h4
bbwwwwwxbbbwwwwbbwbbbwwbbwbbwbwbbwbwbbwxbwwbbbwwbwwwbbwwbbbbbbbb b,h8,h4
bbbbwwxxbbbwwwwbbbwbwbwbbwbbbwwbbbbbbwwbbbbwwbwbbbwwbwbbbbbbbbbb b,h8,g8
xbbbbbbbxxbbbbbbwwwbbbwbwwbwbbwbwwbbwwbbxwbbbwwbbbwbbbwbbwwwbbwb b,a3,a7 b7
bbbbbbbbbbbbbwbbbbbbwwbbbbbwwwbbbbwbbbbbbwbbwbbbwbbxwbbbxbwwwbbb b,d2,a1
xbwwwwwwxbwwwwwwbbwwwwbwbbbbbbwwbbbwwbwwbbbbwwbwwbbbbbwwwbbbbbww w,a7,a8
bbbbbbbbwbbwwwwwwwbbbbwwwbwbbwwwwbbbwwwwwwbwwwwwxxwwwwxwxwwwwwwx b,h1,g2 b2 a2
bbbbbbbbbbbwwwbwbwbbbbwwbwwbbwwwbwbbwwwwbwbwwwwwbbwwwwxwbwwwwwwx b,h1,g2
xbbbbbbbbwbbbbbbbwwbbbwbbwbwbbbbbwbbwbbbbwbwbwwwbbbbwwwwbxbwwxxx b,g1,f1 h1
bbbbbbbxbbbbwwwxbwbbbwwwbwbbbbwwbwbbbbwwbwbbwwbwbbbbbbbbbbbbbbbb b,h8,h7
wwwbbbbbwbbbbbwbwbbbbbwbwbbbbbbbwbbwwwwbwwwbwwbbbwwwwbwbxxwwbbbb b,a1,b1
bbbbbbbxbbbbbbxbbwbbbbbbbwbbbbbbbwbbbbwbbbbbbwbbbbwwwbxbwwwxwwbx w,h1,g7 g2
bbbbbbbbxbbbbbbbbxxwbbwbbbxwbwwbbbbbbbwbbbbbbbbbbbbbbbbbbbbbbbbb b,c5,c6
bbbbbbbbbbwbwwwwbwbbbbwxbbbbbwwxbwbbwwwwbwbwwbwwbbbwbwwxbbbwwwwx b,h1,h5 h2 h6
bbbbbbbbbbwbwwbbbwbbbbwbbbbbbwwwbwbbwbwwbwbwbbwwbbbbbwwxbbbwwwwx b,h1,h2
bwbbbbxxbwwbbbbwbwbwbbbwbwwbwwbwbwbwbwbwwwwwbbwwwwbbbbbwwwwwwwww w,h8,g8
bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbwwwbbbbbxbxwbb b,c1,e1
bbbbbbxxwwwwwbbwwwwwwbwwwwwbwwbwwwwwwwwwwwbwwwwwwwwwwwwwwwwwwwww w,h8,g8
xwwwwwwxxxwwbbbbwwwbbbbbbwbwbbbbbbwbbbwbbwbwbbwbbbwwwbbbbbbbbbbb b,a7,b7
xwwwbbbbxwbbbbbbwbbbbbbbwbbbbbbbwbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb b,a8,a7
bbbbbbbbbbbbbbbbbbbbwbbbbbbbbbbbbbbbbbbbbbwbbbbbwwwwbbbbxbxwwwxb b,a1,c1
bbbbbbbxwwwwwwwbxwbbbwbbbwwbbwbbwwwwbwbbbwbbbwbbxwbbwwbbxbbbbbbb b,a2,h8 a1 a6
wwwwwwxxbwbwbwxxbbwbwwxbbbwwbwwbbbwwbbwbbbbbwbbbbbbbbwbbbbbbbbbb b,g6,g7 g8
bbbbbbbbwwwwwwwbxwbwwwbbxwbbwbwbwbwwwwbbwwbbbbwbwxbbbbbbxbbbbbbb b,b2,a6 a5
bbbbbbbbwwbwwwwbwwwwwwbbwwbbwbwbwbwwwwbbwwbbbbwbwxbbbbbbxbbbbbbb b,b2,a1
xxbwwwwwbbbbbbwwbbwwbwwwbwbwwwwwbwbbwwwwwwwwbwwwwwwwwwwwwwwwwwww w,b8,a8
bbbbbbbbbbwwwwbbbbbwwbwbwbwbbwbbwwwbwbbbwwwwbbbbxxwbbbbbxxbbbbbb b,b1,a2 b2
wxbbwbbxwbbbbbxwwbwwbbwwwwwbwwbwwbbwwwbwwbbbwwbwwbbbbbwwwwwwwwww w,g7,b8 h8
wbbbbbbbbbbbbbbwbbwbbbbwbbbbbbbwbbbbbwwwbbbbbwwwbbbwwwxwbbwwwwwx b,h1,g2
bbbbbbbwxbbbwwwwxwwwwbwwbwwwbwbwxwwbwwbwxwbwwwbwwwwwwwwwbwwwwwww b,a7,a6 a4 a3
bbbbbbbwwwwwwwwwxwwbwbwwbwbwbwbwxbwbwwbwbbbwwwbwbwwwwwwwbwwwwwww b,a4,a6
bwbbbbbbxwwwwbwbxwbwbwbbwwbbbbwbwwbwbbbbwbbwbbwbbbwwwbbbbbbbbbbb b,a7,a6
wwwwwwwwwwwwwbwbwbwwwwwbwbwwwwwbwbwwwbwbwbwbwwbbwwwwwwwbwbbbbbxx w,g1,h1
bbbbbbbbbbbbbbbbbbbbbbwbbbwbbbbbbbwbbbbbwbwbbbbbwwwwwbbbxbwwwxbb b,a1,f1
bbwxxbbxbbbwwbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbwbbbbbbbbbbbb b,e8,d8
bbbbbbbbwbwwwwxwwbwwwbwwwwwbwbwwwbwbbwwwwbwbbbwwxwbbbbxwwbbbbbbx b,h1,g7 a2
xwwwbbbbxxwwwwwbbbbbbbbbbbbbbbwbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb b,a8,b7
bbbbbbbxbbbbbbxbbbbbwbbbbbbbbbbbwbbwbbbbwbwbwbbbwwbbbbxbwwwbwwxx w,g2,g7 g1
bbbbbbbxbbbbbbxbbbbbwbbbbbbbbbbbwbbwbbbbwbwbwbbbwwwwwwwbwwwbwwxx b,h1,g1
bbbbbbbxbbbbbbxbbbbbwbbbbbbbbbbbwbbbbbbbwbwbbbbbwwwwwbbbwwwbbbbx w,h1,g7
bbbbbbbxbbbbbbxbbbbbwbbbbbbbbbbbwbbbbbbbwbwbbbbbwwwwwbbbwwwwwwww w,h8,g7
bbbbbbbbbbbbwbwbbbbbwwwbbwbbwwwbbwxbwwwbbwxwbwbbwxwbbbbbxbbbbwww b,a1,b2 c4 c3
bbbbbbbbbbbbwbwbbbbbwwwbbwbwwwwbbbwwwwwbbwbwbwbbwxbbwbbbxbbbbwww b,a1,b2
xwwwwwwwxxwwwwwwxbbwwwwwbbbwwbwwbbbwwwwwbbwwwbwwbwwbbwbwwwwwwwwb w,a6,a7 b7
bxwwwwwbbxwwwwbbbwwbwbwbbwwbbbwbbwbbbbwbbwbbbbwbbbbwwbbbbbbbbbbb b,b8,b7
xbbbbbbwxwbwwwwwbwwbbwbwbwwwwwwwwwbwwwwwwwwwwwwwwwwwwwwwwwwwwwww w,a7,a8
xxbbbbwwwbbbbwwwwwwwwwwwwwbbwwbwwbwwwwbwwbwwwwbwwwbwwbwwwwwwwwww w,b8,a8
bbbwwxxxbbwwwwxbbwbwbbbbbbbwbbbbbwwwbbbbbwbwbwbbbbwwwwbbbbbbbbbb b,g7,f8 g8
bbbbbbwxbbwwbwxbbwbbwbbbbbbwbbbbbwwwbbbbbwbwbwbbbbwwwwbbbbbbbbbb b,g7,h8
xwwwwwxbwxwbwwbbwwwwwbwbwbwbbbwbwbbwbbwbwbwbbbwbwbbbbbbbwbbbbbbb b,g8,b7
xwwwwwbbwxwbwbbbwwwwbbwbwbwbbbwbwbbwbbwbwbwbbbwbwbbbbbbbwbbbbbbb b,a8,b7
bbbbbbbbbwwwwbbbbwwbbbbbbwwwbbbbbwbwwbbbbwwbwbbbbwwwwwbbxxwwwbbb b,a1,b1
wwwwwwwwbwwwbbwwbwwbbwbwbwbbwwbwbbbwwwbwbbbwwwwwbxbbbbwwxwwwwwww w,b2,a1
